position,energie,bpm,genre,artiste,titre,chemin
1,0.281,105,Downtempo,Dawn Again,Vanilla Sky,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\002_03 Dawn Again - Vanilla Sky.mp3
2,0.271,94,Soul,MC Solaar,Solaar Power,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\001_05. MC Solaar - Solaar power.mp3
3,0.346,95,RnB/Swing,Michael Jackson,You Rock My World (Radio Edit),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\005_89 michael jackson - You Rock My World.mp3
4,0.303,127,House,?,7A - 127 - Glenn Underground - 12 O'clock Pumpkin - Change Things,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\003_Glenn Underground - 12 O'clock Pumpkin - Change Things - 7A - 127.mp3
5,0.306,105,Deep House,Dawn Again,A Day In The Life Of Pond Algae,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\004_01 Dawn Again - A Day In The Life Of Pond Algae.mp3
6,0.427,130,Minimal Techno,Francesco Del Garda & Seuil,111,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\006_c- Francesco Del Garda & Seuil - 111.mp3
7,0.347,126,House,?,09 Blissed Out Snacking Zombies,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\007_09 Blissed Out Snacking Zombies.mp3
8,0.359,124,House,AI GO RYTHM,Welcome to Groove Latitude (HOUSE edit),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\008_AI GO RYTHM - Welcome to Groove Latitude (HOUSE edit).mp3
9,0.366,126,House,AI GO RYTHM,Mon ami Pierrot (Prète moi ta plume),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\009_AI GO RYTHM - Mon ami Pierrot (Prète moi ta plume).mp3
10,0.488,127,Progressive House,Roulade Records,Occibel - Coton Dancefloor,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\010_01 Roulade Records - Occibel - Coton Dancefloor.mp3
11,0.503,126,Minimal Techno,Ben Rau,B1 Expand VINYL ONLY,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\011_Ben Rau - B1 Expand [Inkal Music].mp3
12,0.514,124,Deep House,Chris Stussy,Boogie Trippin (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\012_Chris Stussy - Boogie Trippin (Original Mix).mp3
13,0.377,124,House,AI GO RYTHM,The light is fading in the street (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\016_AI GO RYTHM - The light is fading in the street (Original Mix).mp3
14,0.539,132,Techno,"Earth, Wind & Fire","Earth, Wind & Fire - Let's Groove (Fede Aliprandi Edit)","C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\014_Earth, Wind & Fire - Let's Groove (Fede Aliprandi Edit).mp3"
15,0.521,132,Progressive House,?,Sense of Style (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\015_Marsolo - Sense of Style (Original Mix).mp3
16,0.471,126,House,Cabello,Reboot The Brian,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\019_Cabello - Reboot The Brian.mp3
17,0.523,117,Deep House,Radic The Myth,About You (Kwaito Bass Mix) 117,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\017_Radic The Myth - About You (Kwaito Bass Mix) 117.mp3
18,0.610,130,Minimal Techno,"Elleot, Astre",Tutti Flutti,"C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\018_Elleot, Astre - Tutti Flutti.mp3"
19,0.501,127,House,DJ Atlance,Liquid Sunshine (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\020_DJ Atlance - Liquid Sunshine (Original Mix).mp3
20,0.480,126,House,Renva,Renva - Positive Vibes,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\027_04 Renva - Renva - Positive Vibes.mp3
21,0.524,128,House,?,022_Kyle Walker - Feels So Good (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\022_Kyle Walker - Feels So Good (Extended Mix).mp3
22,0.523,122,House,Choices,Choices - Less Is More (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\021_Choices - Less Is More (Original Mix).mp3
23,0.538,123,House,?,023_Da House Vibe (Makito Remix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\023_Da House Vibe (Makito Remix).mp3
24,0.543,124,House,Nick van Tiel Ft. SIILA,Not Mine (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\024_05-nick van tiel ft. siila-not mine (extended mix).mp3
25,0.542,128,House,Retromigration,Half Fried Original Mix,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\025_Retromigration - Half Fried Original Mix.mp3
26,0.524,124,House,Maison Blanche,Dance Forever (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\026_Dance Forever (Extended Mix) - Maison Blanche.mp3
27,0.445,125,House,?,Tranquil Elephantizer - No Slo Dub,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\1_morning\013_Tranquil Elephantizer - No Slo Dub ( remix ).wav.mp3
