position,energie,bpm,genre,artiste,titre,chemin
1,0.556,128,Techno,KANIO,Live Show Radio (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\058_14 - KANIO - Live Show Radio (Original Mix).mp3
2,0.555,127,House,Carol Seubert,Deep Down (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\002_02 - Carol Seubert - Deep Down (Original Mix).mp3
3,0.576,130,UK Garage,Sidney Charles,No Way Out,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\009_Sidney Charles - No Way Out.mp3
4,0.575,132,Speed Garage,"Sidney Charles, Kolter",Let's Pardey (Original Mix),"C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\001_Sidney Charles, Kolter - Let's Pardey (Original Mix).mp3"
5,0.542,128,Deep Techno,Lauren Lo Sung,Tom & Jerry,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\Lauren Lo Sung - Tom & Jerry.mp3
6,0.549,132,Techno,"Earth, Wind & Fire","Earth, Wind & Fire - Let's Groove (Fede Aliprandi Edit)","C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\003_Earth, Wind & Fire - Let's Groove (Fede Aliprandi Edit).mp3"
7,0.583,128,House,Fede Aliprandi,In The Middle (Original Mix) 128,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\050_Fede Aliprandi - In The Middle (Original Mix) 128.mp3
8,0.598,128,Tech House,?,005_Danny Ghost - So Devine,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\005_Danny Ghost - So Devine.mp3
9,0.596,128,Minimal Techno,Nanna Osé,Shout Out To Y'all (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\015_Nanna Osé - Shout Out To Y'all (Original Mix).mp3
10,0.572,127,Deep Techno,Stussko,Spacefunk,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\021_Stussko - Spacefunk EP - 01 - spacefunk.mp3
11,0.588,128,Techno,Mau P,Like I Like It,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\008_01 Mau P - Like I Like It.mp3
12,0.599,131,House,Hidde van Wee,Aspire to Inspire (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\027_Hidde van Wee - Aspire to Inspire (Original Mix).mp3
13,0.595,128,Tech House,James Greene,Vamos (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\028_James Greene - Vamos (Extended Mix).mp3
14,0.607,128,Minimal Techno,Chantola,Control (Original Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\020_09-chantola-control (original mix).mp3
15,0.619,132,Bassline,Biscits,2C2 (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\011_Biscits - 2C2 (Extended Mix).mp3
16,0.610,132,Techno,Joshwa,Time 2 Move (Extended Mix),C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\034_Joshwa - Time 2 Move (Extended Mix).mp3
17,0.629,131,House,musiclan,"Nate Dogg, Kolter - Liquor Store (Extended Mix)","C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\012_Nate Dogg, Kolter - Liquor Store (Extended Mix).mp3"
18,0.627,132,UK Garage,Kim English,Nite Life (M-High Extended Remix) 132,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\018_Kim English - Nite Life (M-High Extended Remix) 132.mp3
19,0.607,130,Progressive House,Discipline,Break It Down,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\025_Discipline - Break It Down.mp3
20,0.645,120,Deep Techno,DARK HEART & JOHN CALA,CIGARETTE (EXTENDED MIX) MHT 120,C:\Users\ph.dufourcq\Music\00_AZURACAST\New_prog\3_evening\016_DARK HEART & JOHN CALA - CIGARETTE (EXTENDED MIX) MHT 120.mp3
